InsuredTypeLabel,InsuredTypeValue,YearsInBusinessLabel,YearsInBusinessValue,RadiusOfOperationLabel,RadiusOfOperationValue,StateLabel,StateValue,NatureOfBusinessLabel,NatureOfBusinessValue,CommoditiesHauledLabel,CommoditiesHauledValue
,,,,,,,,,,Plywood,plywood
,,,,,,,,,,Poultry,poultry
,,,,,,,,,,Produce,produce
,,,,,,,,,,Produce (Non Reefer),producenonreefer
,,,,,,,,,,Recycled Materials,recycledmaterials
,,,,,,,,,,Reefer Goods,reefergoods
,,,,,,,,,,Roofing Shingles,roofingshingles
,,,,,,,,,,Sand and Gravel,sandgravel
,,,,,,,,,,Scrap Metal,scrapmetal
,,,,,,,,,,Seafood,seafood
